Website,https://asu-molecular-sciences-cloud-lab.github.io/bomb_calorimetry_v2/ 
Simulated Calorimeter,Parr #0001
Sample Name,Lauric Acid
Formula,C12H24O2
Molecular Weight (g/mol),200.311
Sample Weight (g),1.9000
Water Temp (deg C),21.00
Room Temp (deg C),25.24
Water Volume (L),2.0
Wire Before (g),0.023
Wire After (g),0.015
=====,=====
Time (s), Temperature (C)
0.00,21.00
60.00,21.00
120.00,21.01
180.00,21.02
240.00,21.02
300.00,21.03
315.00,21.07
330.00,21.64
345.00,22.49
360.00,23.38
375.00,24.19
390.00,24.87
405.00,25.43
420.00,25.88
435.00,26.23
450.00,26.50
465.00,26.70
480.00,26.86
540.00,27.19
600.00,27.29
660.00,27.28
720.00,27.28
780.00,27.28
840.00,27.28
900.00,27.27
960.00,27.27
1020.00,27.27
1080.00,27.27
